Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
1950-09-01,1950,9,Million Pounds,832.0,Beef,Commercial,Red Meat
1950-08-01,1950,8,Million Pounds,829.0,Beef,Commercial,Red Meat
1950-07-01,1950,7,Million Pounds,754.0,Beef,Commercial,Red Meat
1950-06-01,1950,6,Million Pounds,753.0,Beef,Commercial,Red Meat
1950-05-01,1950,5,Million Pounds,774.0,Beef,Commercial,Red Meat
1950-04-01,1950,4,Million Pounds,694.0,Beef,Commercial,Red Meat
1950-03-01,1950,3,Million Pounds,775.0,Beef,Commercial,Red Meat
1950-02-01,1950,2,Million Pounds,676.0,Beef,Commercial,Red Meat
1950-01-01,1950,1,Million Pounds,780.0,Beef,Commercial,Red Meat
1949-12-01,1949,12,Million Pounds,717.0,Beef,Commercial,Red Meat
1949-11-01,1949,11,Million Pounds,751.0,Beef,Commercial,Red Meat
1949-10-01,1949,10,Million Pounds,772.0,Beef,Commercial,Red Meat
1949-09-01,1949,9,Million Pounds,821.0,Beef,Commercial,Red Meat
1949-08-01,1949,8,Million Pounds,835.0,Beef,Commercial,Red Meat
1949-07-01,1949,7,Million Pounds,743.0,Beef,Commercial,Red Meat
1949-06-01,1949,6,Million Pounds,765.0,Beef,Commercial,Red Meat
1949-05-01,1949,5,Million Pounds,747.0,Beef,Commercial,Red Meat
1949-04-01,1949,4,Million Pounds,721.0,Beef,Commercial,Red Meat
1949-03-01,1949,3,Million Pounds,794.0,Beef,Commercial,Red Meat
1949-02-01,1949,2,Million Pounds,697.0,Beef,Commercial,Red Meat
1949-01-01,1949,1,Million Pounds,779.0,Beef,Commercial,Red Meat
1948-12-01,1948,12,Million Pounds,783.0,Beef,Commercial,Red Meat
1948-11-01,1948,11,Million Pounds,744.0,Beef,Commercial,Red Meat
1948-10-01,1948,10,Million Pounds,752.0,Beef,Commercial,Red Meat
1948-09-01,1948,9,Million Pounds,773.0,Beef,Commercial,Red Meat
1948-08-01,1948,8,Million Pounds,705.0,Beef,Commercial,Red Meat
1948-07-01,1948,7,Million Pounds,681.0,Beef,Commercial,Red Meat
1948-06-01,1948,6,Million Pounds,733.0,Beef,Commercial,Red Meat
1948-05-01,1948,5,Million Pounds,650.0,Beef,Commercial,Red Meat
1948-04-01,1948,4,Million Pounds,700.0,Beef,Commercial,Red Meat
1948-03-01,1948,3,Million Pounds,727.0,Beef,Commercial,Red Meat
1948-02-01,1948,2,Million Pounds,662.0,Beef,Commercial,Red Meat
1948-01-01,1948,1,Million Pounds,856.0,Beef,Commercial,Red Meat
1947-12-01,1947,12,Million Pounds,843.0,Beef,Commercial,Red Meat
1947-11-01,1947,11,Million Pounds,813.0,Beef,Commercial,Red Meat
1947-10-01,1947,10,Million Pounds,924.0,Beef,Commercial,Red Meat
1947-09-01,1947,9,Million Pounds,888.0,Beef,Commercial,Red Meat
1947-08-01,1947,8,Million Pounds,766.0,Beef,Commercial,Red Meat
1947-07-01,1947,7,Million Pounds,839.0,Beef,Commercial,Red Meat
1947-06-01,1947,6,Million Pounds,804.0,Beef,Commercial,Red Meat
1947-05-01,1947,5,Million Pounds,846.0,Beef,Commercial,Red Meat
1947-04-01,1947,4,Million Pounds,831.0,Beef,Commercial,Red Meat
1947-03-01,1947,3,Million Pounds,829.0,Beef,Commercial,Red Meat
1947-02-01,1947,2,Million Pounds,778.0,Beef,Commercial,Red Meat
1947-01-01,1947,1,Million Pounds,935.0,Beef,Commercial,Red Meat
1946-12-01,1946,12,Million Pounds,856.0,Beef,Commercial,Red Meat
1946-11-01,1946,11,Million Pounds,844.0,Beef,Commercial,Red Meat
1946-10-01,1946,10,Million Pounds,840.0,Beef,Commercial,Red Meat
1946-09-01,1946,9,Million Pounds,366.0,Beef,Commercial,Red Meat
1946-08-01,1946,8,Million Pounds,871.0,Beef,Commercial,Red Meat
1946-07-01,1946,7,Million Pounds,954.0,Beef,Commercial,Red Meat
1946-06-01,1946,6,Million Pounds,461.0,Beef,Commercial,Red Meat
1946-05-01,1946,5,Million Pounds,605.0,Beef,Commercial,Red Meat
1946-04-01,1946,4,Million Pounds,734.0,Beef,Commercial,Red Meat
1946-03-01,1946,3,Million Pounds,796.0,Beef,Commercial,Red Meat
1946-02-01,1946,2,Million Pounds,827.0,Beef,Commercial,Red Meat
1946-01-01,1946,1,Million Pounds,856.0,Beef,Commercial,Red Meat
1945-12-01,1945,12,Million Pounds,783.0,Beef,Commercial,Red Meat
1945-11-01,1945,11,Million Pounds,933.0,Beef,Commercial,Red Meat
1945-10-01,1945,10,Million Pounds,1022.0,Beef,Commercial,Red Meat
1945-09-01,1945,9,Million Pounds,910.0,Beef,Commercial,Red Meat
1945-08-01,1945,8,Million Pounds,858.0,Beef,Commercial,Red Meat
1945-07-01,1945,7,Million Pounds,736.0,Beef,Commercial,Red Meat
1945-06-01,1945,6,Million Pounds,739.0,Beef,Commercial,Red Meat
1945-05-01,1945,5,Million Pounds,747.0,Beef,Commercial,Red Meat
1945-04-01,1945,4,Million Pounds,736.0,Beef,Commercial,Red Meat
1945-03-01,1945,3,Million Pounds,836.0,Beef,Commercial,Red Meat
1945-02-01,1945,2,Million Pounds,816.0,Beef,Commercial,Red Meat
1945-01-01,1945,1,Million Pounds,820.0,Beef,Commercial,Red Meat
1944-12-01,1944,12,Million Pounds,764.0,Beef,Commercial,Red Meat
1944-11-01,1944,11,Million Pounds,786.0,Beef,Commercial,Red Meat
1944-10-01,1944,10,Million Pounds,834.0,Beef,Commercial,Red Meat
1944-09-01,1944,9,Million Pounds,774.0,Beef,Commercial,Red Meat
1944-08-01,1944,8,Million Pounds,787.0,Beef,Commercial,Red Meat
1944-07-01,1944,7,Million Pounds,662.0,Beef,Commercial,Red Meat
1944-06-01,1944,6,Million Pounds,658.0,Beef,Commercial,Red Meat
1944-05-01,1944,5,Million Pounds,681.0,Beef,Commercial,Red Meat
1944-04-01,1944,4,Million Pounds,650.0,Beef,Commercial,Red Meat
1944-03-01,1944,3,Million Pounds,741.0,Beef,Commercial,Red Meat
1944-02-01,1944,2,Million Pounds,713.0,Beef,Commercial,Red Meat
1944-01-01,1944,1,Million Pounds,751.0,Beef,Commercial,Red Meat
1943-12-01,1943,12,Million Pounds,,Beef,Commercial,Red Meat
1943-11-01,1943,11,Million Pounds,,Beef,Commercial,Red Meat
1943-10-01,1943,10,Million Pounds,,Beef,Commercial,Red Meat
1943-09-01,1943,9,Million Pounds,,Beef,Commercial,Red Meat
1943-08-01,1943,8,Million Pounds,,Beef,Commercial,Red Meat
1943-07-01,1943,7,Million Pounds,,Beef,Commercial,Red Meat
1943-06-01,1943,6,Million Pounds,,Beef,Commercial,Red Meat
1943-05-01,1943,5,Million Pounds,,Beef,Commercial,Red Meat
1943-04-01,1943,4,Million Pounds,,Beef,Commercial,Red Meat
1943-03-01,1943,3,Million Pounds,,Beef,Commercial,Red Meat
1943-02-01,1943,2,Million Pounds,,Beef,Commercial,Red Meat
1943-01-01,1943,1,Million Pounds,,Beef,Commercial,Red Meat
1942-12-01,1942,12,Million Pounds,,Beef,Commercial,Red Meat
1942-11-01,1942,11,Million Pounds,,Beef,Commercial,Red Meat
1942-10-01,1942,10,Million Pounds,,Beef,Commercial,Red Meat
1942-09-01,1942,9,Million Pounds,,Beef,Commercial,Red Meat
1942-08-01,1942,8,Million Pounds,,Beef,Commercial,Red Meat
1942-07-01,1942,7,Million Pounds,,Beef,Commercial,Red Meat
1942-06-01,1942,6,Million Pounds,,Beef,Commercial,Red Meat
1942-05-01,1942,5,Million Pounds,,Beef,Commercial,Red Meat
1942-04-01,1942,4,Million Pounds,,Beef,Commercial,Red Meat
1942-03-01,1942,3,Million Pounds,,Beef,Commercial,Red Meat
1942-02-01,1942,2,Million Pounds,,Beef,Commercial,Red Meat
1942-01-01,1942,1,Million Pounds,,Beef,Commercial,Red Meat
1941-12-01,1941,12,Million Pounds,,Beef,Commercial,Red Meat
1941-11-01,1941,11,Million Pounds,,Beef,Commercial,Red Meat
1941-10-01,1941,10,Million Pounds,,Beef,Commercial,Red Meat
1941-09-01,1941,9,Million Pounds,,Beef,Commercial,Red Meat
1941-08-01,1941,8,Million Pounds,,Beef,Commercial,Red Meat
1941-07-01,1941,7,Million Pounds,,Beef,Commercial,Red Meat
1941-06-01,1941,6,Million Pounds,,Beef,Commercial,Red Meat
1941-05-01,1941,5,Million Pounds,,Beef,Commercial,Red Meat
1941-04-01,1941,4,Million Pounds,,Beef,Commercial,Red Meat
1941-03-01,1941,3,Million Pounds,,Beef,Commercial,Red Meat
1941-02-01,1941,2,Million Pounds,,Beef,Commercial,Red Meat
1941-01-01,1941,1,Million Pounds,,Beef,Commercial,Red Meat
1940-12-01,1940,12,Million Pounds,,Beef,Commercial,Red Meat
1940-11-01,1940,11,Million Pounds,,Beef,Commercial,Red Meat
1940-10-01,1940,10,Million Pounds,,Beef,Commercial,Red Meat
1940-09-01,1940,9,Million Pounds,,Beef,Commercial,Red Meat
1940-08-01,1940,8,Million Pounds,,Beef,Commercial,Red Meat
1940-07-01,1940,7,Million Pounds,,Beef,Commercial,Red Meat
1940-06-01,1940,6,Million Pounds,,Beef,Commercial,Red Meat
1940-05-01,1940,5,Million Pounds,,Beef,Commercial,Red Meat
1940-04-01,1940,4,Million Pounds,,Beef,Commercial,Red Meat
1940-03-01,1940,3,Million Pounds,,Beef,Commercial,Red Meat
1940-02-01,1940,2,Million Pounds,,Beef,Commercial,Red Meat
1940-01-01,1940,1,Million Pounds,,Beef,Commercial,Red Meat
1939-12-01,1939,12,Million Pounds,,Beef,Commercial,Red Meat
1939-11-01,1939,11,Million Pounds,,Beef,Commercial,Red Meat
1939-10-01,1939,10,Million Pounds,,Beef,Commercial,Red Meat
1939-09-01,1939,9,Million Pounds,,Beef,Commercial,Red Meat
1939-08-01,1939,8,Million Pounds,,Beef,Commercial,Red Meat
1939-07-01,1939,7,Million Pounds,,Beef,Commercial,Red Meat
1939-06-01,1939,6,Million Pounds,,Beef,Commercial,Red Meat
1939-05-01,1939,5,Million Pounds,,Beef,Commercial,Red Meat
1939-04-01,1939,4,Million Pounds,,Beef,Commercial,Red Meat
1939-03-01,1939,3,Million Pounds,,Beef,Commercial,Red Meat
1939-02-01,1939,2,Million Pounds,,Beef,Commercial,Red Meat
1939-01-01,1939,1,Million Pounds,,Beef,Commercial,Red Meat
1938-12-01,1938,12,Million Pounds,,Beef,Commercial,Red Meat
1938-11-01,1938,11,Million Pounds,,Beef,Commercial,Red Meat
1938-10-01,1938,10,Million Pounds,,Beef,Commercial,Red Meat
1938-09-01,1938,9,Million Pounds,,Beef,Commercial,Red Meat
1938-08-01,1938,8,Million Pounds,,Beef,Commercial,Red Meat
1938-07-01,1938,7,Million Pounds,,Beef,Commercial,Red Meat
1938-06-01,1938,6,Million Pounds,,Beef,Commercial,Red Meat
1938-05-01,1938,5,Million Pounds,,Beef,Commercial,Red Meat
1938-04-01,1938,4,Million Pounds,,Beef,Commercial,Red Meat
1938-03-01,1938,3,Million Pounds,,Beef,Commercial,Red Meat
1938-02-01,1938,2,Million Pounds,,Beef,Commercial,Red Meat
1938-01-01,1938,1,Million Pounds,,Beef,Commercial,Red Meat
1937-12-01,1937,12,Million Pounds,,Beef,Commercial,Red Meat
1937-11-01,1937,11,Million Pounds,,Beef,Commercial,Red Meat
1937-10-01,1937,10,Million Pounds,,Beef,Commercial,Red Meat
1937-09-01,1937,9,Million Pounds,,Beef,Commercial,Red Meat
1937-08-01,1937,8,Million Pounds,,Beef,Commercial,Red Meat
1937-07-01,1937,7,Million Pounds,,Beef,Commercial,Red Meat
1937-06-01,1937,6,Million Pounds,,Beef,Commercial,Red Meat
1937-05-01,1937,5,Million Pounds,,Beef,Commercial,Red Meat
1937-04-01,1937,4,Million Pounds,,Beef,Commercial,Red Meat
1937-03-01,1937,3,Million Pounds,,Beef,Commercial,Red Meat
1937-02-01,1937,2,Million Pounds,,Beef,Commercial,Red Meat
1937-01-01,1937,1,Million Pounds,,Beef,Commercial,Red Meat
1936-12-01,1936,12,Million Pounds,,Beef,Commercial,Red Meat
1936-11-01,1936,11,Million Pounds,,Beef,Commercial,Red Meat
1936-10-01,1936,10,Million Pounds,,Beef,Commercial,Red Meat
1936-09-01,1936,9,Million Pounds,,Beef,Commercial,Red Meat
1936-08-01,1936,8,Million Pounds,,Beef,Commercial,Red Meat
1936-07-01,1936,7,Million Pounds,,Beef,Commercial,Red Meat
1936-06-01,1936,6,Million Pounds,,Beef,Commercial,Red Meat
1936-05-01,1936,5,Million Pounds,,Beef,Commercial,Red Meat
1936-04-01,1936,4,Million Pounds,,Beef,Commercial,Red Meat
1936-03-01,1936,3,Million Pounds,,Beef,Commercial,Red Meat
1936-02-01,1936,2,Million Pounds,,Beef,Commercial,Red Meat
1936-01-01,1936,1,Million Pounds,,Beef,Commercial,Red Meat
1935-12-01,1935,12,Million Pounds,,Beef,Commercial,Red Meat
1935-11-01,1935,11,Million Pounds,,Beef,Commercial,Red Meat
1935-10-01,1935,10,Million Pounds,,Beef,Commercial,Red Meat
1935-09-01,1935,9,Million Pounds,,Beef,Commercial,Red Meat
1935-08-01,1935,8,Million Pounds,,Beef,Commercial,Red Meat
1935-07-01,1935,7,Million Pounds,,Beef,Commercial,Red Meat
1935-06-01,1935,6,Million Pounds,,Beef,Commercial,Red Meat
1935-05-01,1935,5,Million Pounds,,Beef,Commercial,Red Meat
1935-04-01,1935,4,Million Pounds,,Beef,Commercial,Red Meat
1935-03-01,1935,3,Million Pounds,,Beef,Commercial,Red Meat
1935-02-01,1935,2,Million Pounds,,Beef,Commercial,Red Meat
1935-01-01,1935,1,Million Pounds,,Beef,Commercial,Red Meat
1934-12-01,1934,12,Million Pounds,,Beef,Commercial,Red Meat
1934-11-01,1934,11,Million Pounds,,Beef,Commercial,Red Meat
1934-10-01,1934,10,Million Pounds,,Beef,Commercial,Red Meat
1934-09-01,1934,9,Million Pounds,,Beef,Commercial,Red Meat
1934-08-01,1934,8,Million Pounds,,Beef,Commercial,Red Meat
1934-07-01,1934,7,Million Pounds,,Beef,Commercial,Red Meat
1934-06-01,1934,6,Million Pounds,,Beef,Commercial,Red Meat
1934-05-01,1934,5,Million Pounds,,Beef,Commercial,Red Meat
1934-04-01,1934,4,Million Pounds,,Beef,Commercial,Red Meat
1934-03-01,1934,3,Million Pounds,,Beef,Commercial,Red Meat
1934-02-01,1934,2,Million Pounds,,Beef,Commercial,Red Meat
1934-01-01,1934,1,Million Pounds,,Beef,Commercial,Red Meat
1933-12-01,1933,12,Million Pounds,,Beef,Commercial,Red Meat
1933-11-01,1933,11,Million Pounds,,Beef,Commercial,Red Meat
1933-10-01,1933,10,Million Pounds,,Beef,Commercial,Red Meat
1933-09-01,1933,9,Million Pounds,,Beef,Commercial,Red Meat
1933-08-01,1933,8,Million Pounds,,Beef,Commercial,Red Meat
1933-07-01,1933,7,Million Pounds,,Beef,Commercial,Red Meat
1933-06-01,1933,6,Million Pounds,,Beef,Commercial,Red Meat
1933-05-01,1933,5,Million Pounds,,Beef,Commercial,Red Meat
1933-04-01,1933,4,Million Pounds,,Beef,Commercial,Red Meat
1933-03-01,1933,3,Million Pounds,,Beef,Commercial,Red Meat
1933-02-01,1933,2,Million Pounds,,Beef,Commercial,Red Meat
1933-01-01,1933,1,Million Pounds,,Beef,Commercial,Red Meat
1932-12-01,1932,12,Million Pounds,,Beef,Commercial,Red Meat
1932-11-01,1932,11,Million Pounds,,Beef,Commercial,Red Meat
1932-10-01,1932,10,Million Pounds,,Beef,Commercial,Red Meat
1932-09-01,1932,9,Million Pounds,,Beef,Commercial,Red Meat
1932-08-01,1932,8,Million Pounds,,Beef,Commercial,Red Meat
1932-07-01,1932,7,Million Pounds,,Beef,Commercial,Red Meat
1932-06-01,1932,6,Million Pounds,,Beef,Commercial,Red Meat
1932-05-01,1932,5,Million Pounds,,Beef,Commercial,Red Meat
1932-04-01,1932,4,Million Pounds,,Beef,Commercial,Red Meat
1932-03-01,1932,3,Million Pounds,,Beef,Commercial,Red Meat
1932-02-01,1932,2,Million Pounds,,Beef,Commercial,Red Meat
1932-01-01,1932,1,Million Pounds,,Beef,Commercial,Red Meat
1931-12-01,1931,12,Million Pounds,,Beef,Commercial,Red Meat
1931-11-01,1931,11,Million Pounds,,Beef,Commercial,Red Meat
1931-10-01,1931,10,Million Pounds,,Beef,Commercial,Red Meat
1931-09-01,1931,9,Million Pounds,,Beef,Commercial,Red Meat
1931-08-01,1931,8,Million Pounds,,Beef,Commercial,Red Meat
1931-07-01,1931,7,Million Pounds,,Beef,Commercial,Red Meat
1931-06-01,1931,6,Million Pounds,,Beef,Commercial,Red Meat
1931-05-01,1931,5,Million Pounds,,Beef,Commercial,Red Meat
1931-04-01,1931,4,Million Pounds,,Beef,Commercial,Red Meat
1931-03-01,1931,3,Million Pounds,,Beef,Commercial,Red Meat
1931-02-01,1931,2,Million Pounds,,Beef,Commercial,Red Meat
1931-01-01,1931,1,Million Pounds,,Beef,Commercial,Red Meat
1930-12-01,1930,12,Million Pounds,,Beef,Commercial,Red Meat
1930-11-01,1930,11,Million Pounds,,Beef,Commercial,Red Meat
1930-10-01,1930,10,Million Pounds,,Beef,Commercial,Red Meat
1930-09-01,1930,9,Million Pounds,,Beef,Commercial,Red Meat
1930-08-01,1930,8,Million Pounds,,Beef,Commercial,Red Meat
1930-07-01,1930,7,Million Pounds,,Beef,Commercial,Red Meat
1930-06-01,1930,6,Million Pounds,,Beef,Commercial,Red Meat
1930-05-01,1930,5,Million Pounds,,Beef,Commercial,Red Meat
1930-04-01,1930,4,Million Pounds,,Beef,Commercial,Red Meat
1930-03-01,1930,3,Million Pounds,,Beef,Commercial,Red Meat
1930-02-01,1930,2,Million Pounds,,Beef,Commercial,Red Meat
1930-01-01,1930,1,Million Pounds,,Beef,Commercial,Red Meat
1929-12-01,1929,12,Million Pounds,,Beef,Commercial,Red Meat
1929-11-01,1929,11,Million Pounds,,Beef,Commercial,Red Meat
1929-10-01,1929,10,Million Pounds,,Beef,Commercial,Red Meat
1929-09-01,1929,9,Million Pounds,,Beef,Commercial,Red Meat
1929-08-01,1929,8,Million Pounds,,Beef,Commercial,Red Meat
1929-07-01,1929,7,Million Pounds,,Beef,Commercial,Red Meat
1929-06-01,1929,6,Million Pounds,,Beef,Commercial,Red Meat
1929-05-01,1929,5,Million Pounds,,Beef,Commercial,Red Meat
1929-04-01,1929,4,Million Pounds,,Beef,Commercial,Red Meat
1929-03-01,1929,3,Million Pounds,,Beef,Commercial,Red Meat
1929-02-01,1929,2,Million Pounds,,Beef,Commercial,Red Meat
1929-01-01,1929,1,Million Pounds,,Beef,Commercial,Red Meat
1928-12-01,1928,12,Million Pounds,,Beef,Commercial,Red Meat
1928-11-01,1928,11,Million Pounds,,Beef,Commercial,Red Meat
1928-10-01,1928,10,Million Pounds,,Beef,Commercial,Red Meat
1928-09-01,1928,9,Million Pounds,,Beef,Commercial,Red Meat
1928-08-01,1928,8,Million Pounds,,Beef,Commercial,Red Meat
1928-07-01,1928,7,Million Pounds,,Beef,Commercial,Red Meat
1928-06-01,1928,6,Million Pounds,,Beef,Commercial,Red Meat
1928-05-01,1928,5,Million Pounds,,Beef,Commercial,Red Meat
1928-04-01,1928,4,Million Pounds,,Beef,Commercial,Red Meat
1928-03-01,1928,3,Million Pounds,,Beef,Commercial,Red Meat
1928-02-01,1928,2,Million Pounds,,Beef,Commercial,Red Meat
1928-01-01,1928,1,Million Pounds,,Beef,Commercial,Red Meat
1927-12-01,1927,12,Million Pounds,,Beef,Commercial,Red Meat
1927-11-01,1927,11,Million Pounds,,Beef,Commercial,Red Meat
1927-10-01,1927,10,Million Pounds,,Beef,Commercial,Red Meat
1927-09-01,1927,9,Million Pounds,,Beef,Commercial,Red Meat
1927-08-01,1927,8,Million Pounds,,Beef,Commercial,Red Meat
1927-07-01,1927,7,Million Pounds,,Beef,Commercial,Red Meat
1927-06-01,1927,6,Million Pounds,,Beef,Commercial,Red Meat
1927-05-01,1927,5,Million Pounds,,Beef,Commercial,Red Meat
1927-04-01,1927,4,Million Pounds,,Beef,Commercial,Red Meat
1927-03-01,1927,3,Million Pounds,,Beef,Commercial,Red Meat
1927-02-01,1927,2,Million Pounds,,Beef,Commercial,Red Meat
1927-01-01,1927,1,Million Pounds,,Beef,Commercial,Red Meat
1926-12-01,1926,12,Million Pounds,,Beef,Commercial,Red Meat
1926-11-01,1926,11,Million Pounds,,Beef,Commercial,Red Meat
1926-10-01,1926,10,Million Pounds,,Beef,Commercial,Red Meat
1926-09-01,1926,9,Million Pounds,,Beef,Commercial,Red Meat
1926-08-01,1926,8,Million Pounds,,Beef,Commercial,Red Meat
1926-07-01,1926,7,Million Pounds,,Beef,Commercial,Red Meat
1926-06-01,1926,6,Million Pounds,,Beef,Commercial,Red Meat
1926-05-01,1926,5,Million Pounds,,Beef,Commercial,Red Meat
1926-04-01,1926,4,Million Pounds,,Beef,Commercial,Red Meat
1926-03-01,1926,3,Million Pounds,,Beef,Commercial,Red Meat
1926-02-01,1926,2,Million Pounds,,Beef,Commercial,Red Meat
1926-01-01,1926,1,Million Pounds,,Beef,Commercial,Red Meat
1925-12-01,1925,12,Million Pounds,,Beef,Commercial,Red Meat
1925-11-01,1925,11,Million Pounds,,Beef,Commercial,Red Meat
1925-10-01,1925,10,Million Pounds,,Beef,Commercial,Red Meat
1925-09-01,1925,9,Million Pounds,,Beef,Commercial,Red Meat
1925-08-01,1925,8,Million Pounds,,Beef,Commercial,Red Meat
1925-07-01,1925,7,Million Pounds,,Beef,Commercial,Red Meat
1925-06-01,1925,6,Million Pounds,,Beef,Commercial,Red Meat
1925-05-01,1925,5,Million Pounds,,Beef,Commercial,Red Meat
1925-04-01,1925,4,Million Pounds,,Beef,Commercial,Red Meat
1925-03-01,1925,3,Million Pounds,,Beef,Commercial,Red Meat
1925-02-01,1925,2,Million Pounds,,Beef,Commercial,Red Meat
1925-01-01,1925,1,Million Pounds,,Beef,Commercial,Red Meat
1924-12-01,1924,12,Million Pounds,,Beef,Commercial,Red Meat
1924-11-01,1924,11,Million Pounds,,Beef,Commercial,Red Meat
1924-10-01,1924,10,Million Pounds,,Beef,Commercial,Red Meat
1924-09-01,1924,9,Million Pounds,,Beef,Commercial,Red Meat
1924-08-01,1924,8,Million Pounds,,Beef,Commercial,Red Meat
1924-07-01,1924,7,Million Pounds,,Beef,Commercial,Red Meat
1924-06-01,1924,6,Million Pounds,,Beef,Commercial,Red Meat
1924-05-01,1924,5,Million Pounds,,Beef,Commercial,Red Meat
1924-04-01,1924,4,Million Pounds,,Beef,Commercial,Red Meat
1924-03-01,1924,3,Million Pounds,,Beef,Commercial,Red Meat
1924-02-01,1924,2,Million Pounds,,Beef,Commercial,Red Meat
1924-01-01,1924,1,Million Pounds,,Beef,Commercial,Red Meat
1923-12-01,1923,12,Million Pounds,,Beef,Commercial,Red Meat
1923-11-01,1923,11,Million Pounds,,Beef,Commercial,Red Meat
1923-10-01,1923,10,Million Pounds,,Beef,Commercial,Red Meat
1923-09-01,1923,9,Million Pounds,,Beef,Commercial,Red Meat
1923-08-01,1923,8,Million Pounds,,Beef,Commercial,Red Meat
1923-07-01,1923,7,Million Pounds,,Beef,Commercial,Red Meat
1923-06-01,1923,6,Million Pounds,,Beef,Commercial,Red Meat
1923-05-01,1923,5,Million Pounds,,Beef,Commercial,Red Meat
1923-04-01,1923,4,Million Pounds,,Beef,Commercial,Red Meat
1923-03-01,1923,3,Million Pounds,,Beef,Commercial,Red Meat
1923-02-01,1923,2,Million Pounds,,Beef,Commercial,Red Meat
1923-01-01,1923,1,Million Pounds,,Beef,Commercial,Red Meat
1922-12-01,1922,12,Million Pounds,,Beef,Commercial,Red Meat
1922-11-01,1922,11,Million Pounds,,Beef,Commercial,Red Meat
1922-10-01,1922,10,Million Pounds,,Beef,Commercial,Red Meat
1922-09-01,1922,9,Million Pounds,,Beef,Commercial,Red Meat
1922-08-01,1922,8,Million Pounds,,Beef,Commercial,Red Meat
1922-07-01,1922,7,Million Pounds,,Beef,Commercial,Red Meat
1922-06-01,1922,6,Million Pounds,,Beef,Commercial,Red Meat
1922-05-01,1922,5,Million Pounds,,Beef,Commercial,Red Meat
1922-04-01,1922,4,Million Pounds,,Beef,Commercial,Red Meat
1922-03-01,1922,3,Million Pounds,,Beef,Commercial,Red Meat
1922-02-01,1922,2,Million Pounds,,Beef,Commercial,Red Meat
1922-01-01,1922,1,Million Pounds,,Beef,Commercial,Red Meat
1921-12-01,1921,12,Million Pounds,,Beef,Commercial,Red Meat
1921-11-01,1921,11,Million Pounds,,Beef,Commercial,Red Meat
1921-10-01,1921,10,Million Pounds,,Beef,Commercial,Red Meat
1921-09-01,1921,9,Million Pounds,,Beef,Commercial,Red Meat
1921-08-01,1921,8,Million Pounds,,Beef,Commercial,Red Meat
1921-07-01,1921,7,Million Pounds,,Beef,Commercial,Red Meat
1921-06-01,1921,6,Million Pounds,,Beef,Commercial,Red Meat
1921-05-01,1921,5,Million Pounds,,Beef,Commercial,Red Meat
1921-04-01,1921,4,Million Pounds,,Beef,Commercial,Red Meat
1921-03-01,1921,3,Million Pounds,,Beef,Commercial,Red Meat
1921-02-01,1921,2,Million Pounds,,Beef,Commercial,Red Meat
1921-01-01,1921,1,Million Pounds,,Beef,Commercial,Red Meat
2023-12-01,2023,12,Million Pounds,3.9,Others,Commercial,Red Meat
2023-11-01,2023,11,Million Pounds,4.3,Others,Commercial,Red Meat
2023-10-01,2023,10,Million Pounds,4.2,Others,Commercial,Red Meat
2023-09-01,2023,9,Million Pounds,3.6,Others,Commercial,Red Meat
2023-08-01,2023,8,Million Pounds,4.2,Others,Commercial,Red Meat
2023-07-01,2023,7,Million Pounds,3.8,Others,Commercial,Red Meat
2023-06-01,2023,6,Million Pounds,3.9,Others,Commercial,Red Meat
2023-05-01,2023,5,Million Pounds,4.2,Others,Commercial,Red Meat
2023-04-01,2023,4,Million Pounds,3.6,Others,Commercial,Red Meat
2023-03-01,2023,3,Million Pounds,4.2,Others,Commercial,Red Meat
2023-02-01,2023,2,Million Pounds,3.8,Others,Commercial,Red Meat
2023-01-01,2023,1,Million Pounds,4.4,Others,Commercial,Red Meat
2022-12-01,2022,12,Million Pounds,4.5,Others,Commercial,Red Meat
2022-11-01,2022,11,Million Pounds,4.5,Others,Commercial,Red Meat
2022-10-01,2022,10,Million Pounds,4.5,Others,Commercial,Red Meat
2022-09-01,2022,9,Million Pounds,4.3,Others,Commercial,Red Meat
2022-08-01,2022,8,Million Pounds,4.7,Others,Commercial,Red Meat
2022-07-01,2022,7,Million Pounds,4.1,Others,Commercial,Red Meat
2022-06-01,2022,6,Million Pounds,4.6,Others,Commercial,Red Meat
2022-05-01,2022,5,Million Pounds,4.4,Others,Commercial,Red Meat
2022-04-01,2022,4,Million Pounds,4.5,Others,Commercial,Red Meat
2022-03-01,2022,3,Million Pounds,4.9,Others,Commercial,Red Meat
2022-02-01,2022,2,Million Pounds,4.2,Others,Commercial,Red Meat
2022-01-01,2022,1,Million Pounds,4.6,Others,Commercial,Red Meat
2021-12-01,2021,12,Million Pounds,5.3,Others,Commercial,Red Meat
2021-11-01,2021,11,Million Pounds,4.6,Others,Commercial,Red Meat
2021-10-01,2021,10,Million Pounds,4.6,Others,Commercial,Red Meat
2021-09-01,2021,9,Million Pounds,4.4,Others,Commercial,Red Meat
2021-08-01,2021,8,Million Pounds,4.3,Others,Commercial,Red Meat
2021-07-01,2021,7,Million Pounds,3.9,Others,Commercial,Red Meat
2021-06-01,2021,6,Million Pounds,4.1,Others,Commercial,Red Meat
2021-05-01,2021,5,Million Pounds,3.6,Others,Commercial,Red Meat
2021-04-01,2021,4,Million Pounds,4.3,Others,Commercial,Red Meat
